LIST Oct97-680.list LET_A 9 taxfile 126maxNL.tax
455 bbbaaabbb -1.04849 -0.09249  0.82855   34
456 aaabaabbb  0.23162  0.06938 -0.25298  298
457 baabaabbb  0.78024 -0.43774 -0.45848  118
458 ababaabbb -0.14802 -0.20081  0.25451   98
459 bbabaabbb -0.12155  0.16699 -0.01533   38
460 aabbaabbb  1.17390  0.23211 -1.41081  102
461 babbaabbb  1.45401 -1.36735 -0.72582   31
462 abbbaabbb  0.58894  0.32453 -0.80192   35
463 bbbbaabbb  0.32591  0.53312 -0.71132   14
464 aaaababbb -0.22397  1.00538 -0.64336  269
465 baaababbb  0.05289  0.73403 -0.63066  127
466 abaababbb -0.00667  0.87707 -0.71132   98
467 bbaababbb  1.44954 -0.01942 -1.54140   42
468 aabababbb -0.06314  0.90085 -0.68275   94
469 babababbb  0.38541  0.39561 -0.65182   30
470 abbababbb -0.31152  1.07744 -0.64093   19
471 bbbababbb  0.68848  0.27008 -0.86332   12
472 aaabbabbb  1.10832  1.11808 -2.52629   88
473 baabbabbb  2.52183  0.11808 -4.07278   39
474 ababbabbb  0.82027  1.35754 -2.40764   41
475 bbabbabbb  2.55242 -0.46688 -2.86332   18
476 aabbbabbb  0.68848  2.09605 -4.38689   24
477 babbbabbb  2.17390  0.27008 -3.32276   12
478 abbbbabbb 10.00000 -10.00000 -10.00000    2
479 bbbbbabbb  2.75887  0.27008 -10.00000    4
480 aaaaabbbb -1.98959  1.49395 -0.08392  249
481 baaaabbbb -1.98260  1.13744  0.25798  119
482 abaaabbbb -0.59477  1.08566 -0.42811  119
483 bbaaabbbb  0.08644 -2.72992  0.96675   25
484 aabaabbbb -0.00195  1.11808 -0.96286   88
485 babaabbbb -0.87672  0.85504 -0.02379   36
486 abbaabbbb  1.51494 -0.36735 -1.33726   34
487 bbbaabbbb  1.39630 -1.72992 -0.54140   13
488 aaababbbb -1.71362  1.50991 -0.20846   84
489 baababbbb -0.50417  1.15460 -0.56376   42
490 abababbbb  0.17390  2.50712 -3.95079   18
491 bbababbbb  0.85198  0.04769 -0.86332    9
492 aabbabbbb  0.17390  1.20297 -1.24184   18
493 babbabbbb  2.39630 -1.31488 -1.86332   10
494 abbbabbbb  2.17390 -0.46688 -2.18525    6
